EmployeeID,Age,Gender,MaritalStatus,Education,LevelBand,LevelBandNum,Department,Location,ShiftType,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,YearsSinceLastPromo,PromotionsLast3Yrs,Salary_Annual,MarketRateRatio,HikePercentLast,BonusPct,ManagerRating,TeamSize,DistanceFromHome,JobSatisfaction,EnvSatisfaction,RelationshipSat,WorkLifeBalance,AvgSatisfaction,PerformanceRating,AwardsReceived,RecognitionsReceived,TrainingLastYear,Leaves_30d,Leaves_90d,Leaves_180d,Leaves_365d,SickLeave_Annual,OverTime,BusinessTravel,NumCompaniesWorked,WFH_DaysPerWeek,AttritionProb_True,AttritionBinary,Attrition,IsUnderpaid,IsSeverelyUnderpaid,PayGapPct,StagnationIndex,RecognitionGap,LeaveSpike30,LeaveSpike90,LeaveVelocity,SatComposite,SatBelow2,OT_LowSat,WFH_SatInteraction,TravelDistance,IsNewJoiner,IsVeteran,CompanyLoyaltyScore,IsJobHopper,IsDisruptiveShift,IsFullWFH,IsMarried,CompositeRiskFlags,AttritionProb,RiskCategory
ML10358,22,Male,Married,Bachelor,P2C,6,Sales,Pune,Rotational,1,0,0,2,2,1,1685433,1.165,9.8,11.6,5,20,12,2,3,4,3,3.0,3,1,0,6,1,1,6,14,1,Yes,None,7,0,0.1121,0,No,0,0,-16.5,1,2,0,0,14.0,2.8,0,1,0,0,1,0,0.5,1,1,0,1,2,0.2524,Medium
ML10359,34,Female,Single,PhD,P3A,7,Product,Pune,Day,0,0,0,12,3,0,1832193,0.933,5.1,9.6,3,14,16,2,4,2,4,3.0,3,0,2,6,1,3,5,12,1,No,None,0,0,0.1354,0,No,0,0,6.7,6,3,0,0,12.0,3.0,0,0,0,0,1,0,0.0,0,0,0,0,1,0.1847,Medium
ML10360,34,Male,Married,Master,P5,10,Marketing,Chennai,Flexible,18,11,0,13,1,1,3963779,1.033,10.3,15.6,5,17,34,3,3,2,3,2.75,4,1,0,5,0,2,7,22,1,Yes,None,7,0,0.0502,0,No,0,0,-3.3,0,3,0,0,1.22,2.85,0,0,0,0,0,1,1.38,1,0,0,1,1,0.0669,Low
ML10361,27,Male,Married,Bachelor,P1B,2,Engineering,Hyderabad,Day,8,5,0,7,2,1,687698,0.866,16.3,7.8,3,18,3,2,1,4,3,2.5,3,0,4,0,4,4,9,11,1,No,Rare,5,2,0.248,0,No,1,0,13.4,1,3,1,0,1.38,2.4,0,0,4,0,0,0,1.14,1,0,0,1,2,0.2787,Medium
ML10362,22,Female,Single,Bachelor,P1B,2,Engineering,Bengaluru,Rotational,8,5,2,2,1,1,518855,0.596,9.8,12.8,4,12,17,3,3,3,3,3.0,4,0,0,3,3,4,8,13,4,Yes,None,3,0,0.5498,1,Yes,1,1,40.4,0,4,1,0,1.62,3.0,0,0,0,0,0,0,4.0,0,1,0,0,4,0.6182,Critical
ML10363,35,Male,Married,Master,P1A,1,QA,Pune,Flexible,8,6,6,13,3,0,463823,0.876,10.1,19.1,3,12,49,2,3,1,2,2.0,3,1,1,1,1,6,6,15,2,Yes,None,5,2,0.5498,1,Yes,1,0,12.4,6,2,0,0,1.88,2.05,0,1,4,0,0,0,0.62,1,0,0,1,3,0.4039,High
ML10364,36,Male,Married,Bachelor,P3A,7,Product,Bengaluru,Rotational,0,0,0,16,1,1,1452399,0.675,3.5,10.4,5,11,12,2,4,3,4,3.25,3,1,1,0,0,2,6,20,1,No,Rare,3,1,0.217,1,Yes,1,1,32.5,0,2,0,0,20.0,3.15,0,0,2,0,1,0,0.0,0,1,0,1,2,0.2279,Medium
ML10365,37,Female,Married,Bachelor,P2B,5,QA,Bengaluru,Flexible,0,0,0,16,2,0,1070203,0.739,11.9,8.3,4,17,2,4,4,2,2,3.0,2,0,2,0,4,4,5,15,1,No,Frequent,1,2,0.2197,0,No,1,1,26.1,4,2,1,0,15.0,3.1,0,0,8,2,1,0,0.0,0,0,0,1,2,0.1964,Medium
ML10366,26,Male,Divorced,Master,P3B,8,Sales,Chennai,Rotational,2,0,0,6,8,0,1777908,0.865,6.7,7.2,5,6,40,4,4,4,3,3.75,3,2,1,2,1,5,11,23,2,No,Frequent,7,1,0.3313,1,Yes,1,0,13.5,16,1,0,0,11.5,3.7,0,0,4,40,0,0,0.33,1,1,0,0,3,0.2762,Medium
ML10367,37,Male,Married,Bachelor,P3A,7,Legal,Mumbai,Night,4,0,0,17,0,1,1751514,0.767,13.3,7.2,5,23,42,3,3,4,3,3.25,3,0,3,2,1,2,7,12,1,No,None,1,2,0.0502,0,No,1,1,23.3,0,3,0,0,3.0,3.15,0,0,6,0,0,0,0.24,0,1,0,1,2,0.1213,Low
ML10368,32,Female,Married,Bachelor,P2A,4,Product,Hyderabad,Day,6,1,0,12,1,2,925937,0.818,16.2,10.2,4,9,42,3,4,4,3,3.5,3,1,0,6,0,5,5,12,3,Yes,None,0,1,0.1432,0,No,1,0,18.2,0,2,0,0,2.0,3.35,0,0,3,0,0,0,0.5,0,0,0,1,2,0.131,Low
ML10369,40,Male,Divorced,Bachelor,P4,9,Sales,WFH,Day,1,1,0,20,7,0,1633010,0.707,6.3,18.3,5,14,26,3,3,2,3,2.75,3,1,1,6,1,2,5,21,1,No,Frequent,2,5,0.4448,0,No,1,1,29.3,14,2,0,0,21.0,2.85,0,0,15,26,1,0,0.05,0,0,1,0,2,0.3757,High
ML10370,26,Female,Married,Master,P3B,8,Engineering,Bengaluru,Flexible,4,1,0,6,3,0,1794505,0.609,6.4,12.2,4,12,36,2,2,4,3,2.75,4,1,3,4,1,3,11,14,1,Yes,Frequent,3,0,0.5498,1,Yes,1,1,39.1,6,3,0,0,3.5,2.6,0,1,0,36,0,0,0.67,0,0,0,1,3,0.605,Critical
ML10371,43,Male,Single,Master,P2A,4,Infra,Bengaluru,Day,4,1,0,21,5,0,993476,0.909,11.1,11.0,3,23,38,3,3,1,3,2.5,3,0,1,5,0,5,5,11,0,Yes,Rare,4,1,0.5498,0,No,0,0,9.1,10,3,0,0,2.75,2.7,0,0,3,0,0,0,0.19,1,0,0,0,2,0.2885,Medium
ML10372,46,Male,Single,Bachelor,P2A,4,Engineering,Bengaluru,Flexible,4,1,0,26,0,1,1011560,0.736,3.9,10.7,4,18,20,4,3,3,4,3.5,4,0,0,4,1,1,6,13,4,No,Frequent,1,2,0.0892,0,No,1,1,26.4,0,4,0,0,3.25,3.65,0,0,8,20,0,0,0.15,0,0,0,0,1,0.1436,Low
ML10373,34,Male,Single,Master,P2A,4,Marketing,Bengaluru,Day,5,2,2,14,8,0,815570,0.738,9.4,2.2,2,7,10,4,3,2,3,3.0,3,0,2,0,2,2,9,13,3,No,None,6,2,0.3903,0,No,1,1,26.2,16,3,0,0,2.6,3.2,0,0,8,0,0,0,0.36,1,0,0,0,2,0.3351,High
ML10374,37,Female,Single,Bachelor,P1B,2,Operations,Pune,Rotational,20,19,15,15,12,0,657224,1.122,7.8,9.5,3,11,47,2,1,4,3,2.5,3,0,0,5,2,2,9,11,6,No,Rare,0,0,0.5498,1,Yes,0,0,-12.2,20,3,0,0,0.55,2.4,0,0,0,0,0,1,1.33,0,1,0,0,2,0.4023,High
ML10375,40,Male,Married,Bachelor,P1B,2,Operations,Chennai,Day,2,2,0,18,3,1,684120,1.19,8.7,5.4,5,9,58,3,3,3,2,2.75,3,1,1,0,0,1,6,15,1,Yes,Frequent,5,0,0.0917,0,No,0,0,-19.0,3,2,0,0,7.5,2.7,0,0,0,58,0,0,0.11,1,0,0,1,1,0.2352,Medium
ML10376,25,Female,Single,Bachelor,P5,10,Sales,Hyderabad,Flexible,1,0,0,5,0,1,3723338,0.982,0.9,17.5,4,13,43,2,2,4,4,3.0,4,1,1,1,0,10,10,10,4,No,Frequent,2,1,0.2879,0,No,0,0,1.8,0,3,0,1,10.0,2.9,0,0,2,43,1,0,0.2,0,0,0,0,0,0.2908,Medium
ML10377,30,Female,Divorced,Bachelor,P2B,5,Operations,Bengaluru,Day,2,2,0,9,1,2,1081707,0.871,11.0,5.6,5,19,53,3,2,1,4,2.5,4,0,2,4,2,3,7,12,3,No,Rare,1,2,0.0502,0,No,1,0,12.9,0,4,0,0,6.0,2.8,0,0,6,0,0,0,0.22,0,0,0,0,1,0.0598,Low
ML10378,35,Male,Married,Master,P2A,4,Engineering,Hyderabad,Day,16,16,0,13,0,1,1036682,0.826,18.8,3.3,5,7,15,3,4,3,2,3.0,1,2,0,1,0,1,6,14,2,Yes,Rare,5,0,0.0515,0,No,1,0,17.4,0,0,0,0,0.88,2.9,0,0,0,0,0,1,1.23,1,0,0,1,2,0.1418,Low
ML10379,50,Male,Single,Bachelor,P3B,8,Product,Bengaluru,Flexible,2,2,0,28,2,0,2008119,0.756,7.3,1.4,2,24,19,4,3,4,2,3.25,3,3,0,3,0,7,8,15,2,Yes,None,0,0,0.2893,0,No,1,1,24.4,4,0,0,0,7.5,3.2,0,0,0,0,0,0,0.07,0,0,0,0,2,0.2695,Medium
ML10380,24,Female,Divorced,Diploma,P2C,6,Engineering,Pune,Day,1,1,0,3,5,0,1267124,0.682,3.2,6.1,3,12,30,4,3,3,2,3.0,3,0,1,6,0,5,5,14,0,Yes,Rare,3,0,0.5498,0,No,1,1,31.8,10,3,0,0,14.0,3.05,0,0,0,0,1,0,0.33,0,0,0,0,3,0.6413,Critical
ML10381,47,Female,Married,Other,P5,10,Operations,Pune,Day,0,0,0,26,0,2,3477770,0.968,12.2,0.0,3,22,37,3,2,3,3,2.75,3,1,1,4,1,4,12,14,3,No,None,4,0,0.0502,0,No,0,0,3.2,0,2,0,0,14.0,2.8,0,0,0,0,1,0,0.0,1,0,0,1,0,0.0747,Low
ML10382,32,Male,Single,Bachelor,P3B,8,Legal,Bengaluru,Flexible,4,3,0,11,1,1,2013602,0.744,5.5,10.9,4,24,48,3,4,3,2,3.0,1,2,0,1,1,3,5,14,1,No,Rare,0,2,0.0571,0,No,1,1,25.6,0,0,0,0,3.5,2.9,0,0,6,0,0,0,0.36,0,0,0,0,1,0.1797,Low
ML10383,33,Female,Single,Master,P2B,5,Engineering,Chennai,Rotational,5,5,1,11,0,2,1151310,0.764,9.1,11.2,3,20,9,2,3,2,3,2.5,4,2,4,1,3,4,8,11,2,No,Rare,5,1,0.1265,0,No,1,1,23.6,0,2,1,0,2.2,2.5,0,0,2,0,0,0,0.45,1,1,0,0,3,0.1961,Medium
ML10384,43,Male,Married,Master,P2A,4,Engineering,Chennai,Day,2,1,1,23,0,2,1107549,0.899,6.2,4.6,4,7,19,3,3,4,4,3.5,3,1,2,2,0,6,9,13,2,No,Rare,1,2,0.0502,0,No,1,0,10.1,0,2,0,0,6.5,3.45,0,0,6,0,0,0,0.09,0,0,0,1,1,0.0434,Low
ML10385,50,Female,Married,Bachelor,P6,11,Legal,Mumbai,Night,2,1,1,30,0,2,6004036,0.812,3.3,14.3,5,22,1,4,1,2,1,2.0,3,0,1,6,0,4,9,19,0,No,None,7,2,0.1399,1,Yes,1,0,18.8,0,3,0,0,9.5,2.2,0,0,8,0,0,0,0.07,1,1,0,1,2,0.1634,Low
ML10386,37,Female,Married,Bachelor,P3B,8,Engineering,Pune,Day,0,0,0,15,0,2,2068122,0.769,10.2,9.2,4,19,28,3,3,3,2,2.75,3,0,2,2,5,5,10,15,2,No,None,7,3,0.2637,0,No,1,1,23.1,0,3,1,0,15.0,2.7,0,0,9,0,1,0,0.0,1,0,0,1,2,0.2171,Medium
ML10387,43,Male,Married,Other,P5,10,Engineering,Hyderabad,Day,1,0,0,22,2,0,4015286,0.825,6.2,9.2,4,14,54,3,2,3,4,3.0,3,1,3,3,1,7,12,14,3,No,Frequent,3,1,0.2163,1,Yes,1,0,17.5,4,2,0,0,14.0,3.1,0,0,3,54,1,0,0.05,0,0,0,1,1,0.2392,Medium
ML10388,26,Male,Married,Bachelor,P1B,2,Finance,Bengaluru,Night,11,1,0,6,9,0,693277,0.846,2.6,14.3,3,24,45,3,3,1,1,2.0,3,1,1,6,1,5,8,15,0,Yes,Frequent,6,1,0.5498,1,Yes,1,0,15.4,18,2,0,0,1.36,2.1,0,0,3,45,0,1,1.83,1,1,0,1,4,0.774,Critical
ML10389,29,Male,Married,Master,P4,9,QA,Bengaluru,Day,8,6,3,7,2,0,3511149,1.077,10.2,15.7,4,20,6,3,4,4,1,3.0,3,0,4,1,1,1,9,14,5,Yes,Rare,0,0,0.062,0,No,0,0,-7.7,4,3,0,0,1.75,2.75,0,0,0,0,0,0,1.14,0,0,0,1,1,0.1466,Low
ML10390,23,Male,Married,Master,P3A,7,Marketing,Pune,Day,7,7,4,3,1,1,1920414,1.098,20.5,4.9,3,19,29,4,1,2,3,2.5,3,1,3,4,1,5,9,14,2,Yes,Rare,6,2,0.0514,0,No,0,0,-9.8,0,2,0,0,2.0,2.8,0,0,8,0,0,0,2.33,1,0,0,1,1,0.0783,Low
ML10391,29,Female,Married,Bachelor,P1B,2,Sales,WFH,Day,4,0,0,9,4,0,671532,1.267,13.1,2.8,4,17,15,3,3,3,2,2.75,4,1,1,4,1,5,7,14,1,No,Rare,6,5,0.0502,1,Yes,0,0,-26.7,8,3,0,0,3.5,2.7,0,0,15,0,0,0,0.44,1,0,1,1,1,0.0644,Low
ML10392,38,Male,Single,Master,P3A,7,Infra,Hyderabad,Flexible,2,1,1,18,4,0,2006735,1.159,8.8,8.1,4,15,15,3,2,3,2,2.5,2,0,1,3,2,4,5,21,6,No,Rare,0,1,0.0502,0,No,0,0,-15.9,8,2,0,0,10.5,2.5,0,0,3,0,0,0,0.11,0,0,0,0,1,0.1307,Low
ML10393,35,Female,Married,Diploma,P3A,7,Finance,Hyderabad,Night,3,2,2,15,0,2,1695264,0.826,21.1,17.7,5,12,47,4,2,2,3,2.75,4,0,1,6,1,3,8,17,2,No,Frequent,0,0,0.0502,0,No,1,0,17.4,0,4,0,0,5.67,3.0,0,0,0,47,0,0,0.2,0,1,0,1,2,0.1262,Low
ML10394,47,Female,Married,Bachelor,P1A,1,Finance,Pune,Day,4,0,0,27,1,2,508393,0.877,2.0,6.1,2,18,39,3,3,3,4,3.25,3,1,5,4,2,2,8,14,1,No,None,4,1,0.0663,0,No,1,0,12.3,0,2,0,0,3.5,3.3,0,0,3,0,0,0,0.15,1,0,0,1,1,0.1045,Low
ML10395,50,Other,Married,Bachelor,P2B,5,Sales,Mumbai,Flexible,1,0,0,29,2,0,1277466,0.934,11.3,14.8,3,5,3,3,4,4,4,3.75,2,0,2,2,0,3,7,16,3,Yes,Rare,1,2,0.3086,0,No,0,0,6.6,4,2,0,0,16.0,3.65,0,0,6,0,1,0,0.03,0,0,0,1,1,0.1922,Medium
ML10396,32,Male,Married,Bachelor,P4,9,Sales,Bengaluru,Rotational,7,6,0,10,4,0,3134455,1.063,16.3,5.1,3,11,39,4,3,4,2,3.25,2,1,1,0,1,2,3,13,1,No,Rare,6,1,0.1937,0,No,0,0,-6.3,8,1,0,0,1.86,3.2,0,0,4,0,0,0,0.7,1,1,0,1,2,0.136,Low
ML10397,28,Other,Married,Master,P2A,4,Sales,Mumbai,Day,0,0,0,7,0,2,1174584,1.051,4.9,9.2,4,18,51,3,3,1,1,2.0,3,1,2,1,2,6,8,14,2,No,None,4,1,0.1551,0,No,0,0,-5.1,0,2,0,0,14.0,2.1,0,0,3,0,1,0,0.0,1,0,0,1,0,0.1046,Low
ML10398,43,Male,Married,Master,P2B,5,Operations,Delhi,Flexible,3,2,0,23,1,2,1168933,0.966,10.2,7.1,3,5,6,1,4,4,2,2.75,3,0,0,5,1,4,8,18,0,Yes,None,6,0,0.2211,0,No,0,0,3.4,0,3,0,0,6.0,2.35,0,1,0,0,0,0,0.13,1,0,0,1,1,0.2217,Medium
ML10399,44,Male,Married,Master,P2B,5,Engineering,Chennai,Day,1,1,1,23,1,1,1203272,0.798,6.5,12.1,3,22,55,3,2,4,3,3.0,3,0,2,0,1,3,7,7,3,No,None,3,0,0.1596,0,No,1,1,20.2,0,3,0,0,7.0,2.95,0,0,0,0,1,0,0.04,0,0,0,1,1,0.2098,Medium
ML10400,37,Male,Married,PhD,P2A,4,Operations,WFH,Day,7,5,0,17,2,0,843781,1.063,7.6,10.7,5,15,22,2,3,3,2,2.5,4,0,2,1,1,4,6,15,1,Yes,None,7,5,0.0774,0,No,0,0,-6.3,4,4,0,0,2.14,2.35,0,1,10,0,0,0,0.41,1,0,1,1,1,0.1851,Medium
ML10401,39,Female,Divorced,Other,P5,10,Engineering,Bengaluru,Day,7,1,1,18,0,1,4668246,0.876,10.6,5.5,5,14,44,4,1,3,3,2.75,4,0,2,2,3,3,9,9,1,Yes,Rare,0,0,0.1619,1,Yes,1,0,12.4,0,4,1,0,1.29,2.95,0,0,0,0,0,0,0.39,0,0,0,0,3,0.1761,Low
ML10402,38,Male,Married,Bachelor,P3B,8,Sales,Hyderabad,Day,1,0,0,16,0,1,2187189,1.044,1.9,7.6,3,4,34,4,2,3,4,3.25,3,0,0,1,0,3,4,18,3,No,Frequent,6,1,0.1243,0,No,0,0,-4.4,0,3,0,0,18.0,3.45,0,0,4,34,1,0,0.06,1,0,0,1,0,0.1546,Low
ML10403,26,Male,Married,PhD,P1B,2,Engineering,Hyderabad,Rotational,1,0,0,6,11,0,529968,0.667,5.0,4.7,3,6,15,4,2,3,4,3.25,3,3,0,6,1,2,5,17,3,No,None,3,3,0.5211,1,Yes,1,1,33.3,20,0,0,0,17.0,3.45,0,0,12,0,1,0,0.17,0,1,0,1,3,0.5333,Critical
ML10404,24,Male,Married,Bachelor,P6,11,HR,Bengaluru,Night,0,0,0,3,7,0,4155158,0.747,9.2,11.1,2,6,47,3,3,4,3,3.25,1,0,0,4,0,8,8,17,1,No,Rare,0,1,0.5498,0,No,1,1,25.3,14,1,0,1,17.0,3.15,0,0,3,0,1,0,0.0,0,1,0,1,3,0.632,Critical
ML10405,33,Female,Married,Bachelor,P4,9,Operations,Bengaluru,Flexible,4,0,0,11,6,0,2252692,0.806,2.0,4.9,2,12,44,4,3,1,3,2.75,3,2,0,5,2,3,9,18,2,Yes,Rare,1,1,0.4275,0,No,1,0,19.4,12,1,0,0,4.5,3.05,0,0,4,0,0,0,0.36,0,0,0,1,3,0.3732,High
ML10406,32,Female,Married,Bachelor,P2A,4,Sales,Chennai,Day,0,0,0,12,1,1,880994,0.919,7.5,10.5,3,20,25,3,2,3,2,2.5,2,1,1,4,1,1,11,18,0,No,Rare,5,0,0.3281,1,Yes,0,0,8.1,0,1,0,0,18.0,2.5,0,0,0,0,1,0,0.0,1,0,0,1,0,0.2758,Medium
ML10407,36,Female,Divorced,Bachelor,P4,9,Engineering,Pune,Day,5,3,3,15,1,2,2337516,0.676,2.9,12.0,3,11,8,2,1,4,4,2.75,3,0,0,4,5,5,6,13,2,No,None,6,0,0.5498,0,No,1,1,32.4,0,3,1,0,2.6,2.7,0,0,0,0,0,0,0.33,1,0,0,0,2,0.3459,High
ML10408,32,Female,Married,Diploma,P1B,2,Engineering,Pune,Day,8,7,7,12,3,1,639867,0.806,3.1,13.3,4,14,38,2,3,3,2,2.5,3,2,0,0,3,5,5,14,2,No,None,4,2,0.1809,0,No,1,0,19.4,3,1,1,0,1.75,2.35,0,0,4,0,0,0,0.67,1,0,0,1,2,0.3154,Medium
ML10409,22,Male,Divorced,Master,P6,11,Product,Bengaluru,Day,7,6,6,2,0,2,3980496,0.572,12.7,13.4,5,16,11,4,1,3,1,2.25,3,0,1,3,1,2,4,11,3,Yes,Rare,1,0,0.5498,0,No,1,1,42.8,0,3,0,0,1.57,2.35,0,0,0,0,0,0,3.5,0,0,0,0,2,0.3633,High
ML10410,22,Male,Married,Master,P3A,7,Sales,Hyderabad,Flexible,6,2,0,2,0,2,1674962,0.988,9.4,11.7,4,19,46,4,2,3,2,2.75,3,0,0,2,0,4,4,18,1,No,None,7,2,0.0552,0,No,0,0,1.2,0,3,0,0,3.0,2.85,0,0,8,0,0,0,3.0,1,0,0,1,0,0.0798,Low
ML10411,39,Male,Divorced,Bachelor,P3A,7,Legal,Bengaluru,Rotational,6,2,1,19,8,0,2404618,1.098,8.1,4.6,3,20,53,3,1,4,4,3.0,3,0,0,2,1,3,7,11,2,No,None,2,0,0.0874,0,No,0,0,-9.8,16,3,0,0,1.83,3.05,0,0,0,0,0,0,0.32,0,1,0,0,2,0.2202,Medium
ML10412,28,Male,Divorced,Bachelor,P1A,1,Sales,Bengaluru,Rotational,11,0,0,8,6,0,466973,0.89,7.2,5.7,4,7,12,2,3,3,4,3.0,3,0,0,1,2,4,8,14,1,Yes,Frequent,3,3,0.5498,0,No,1,0,11.0,12,3,0,0,1.27,2.95,0,1,6,12,0,1,1.38,0,1,0,0,4,0.4611,Critical
ML10413,32,Female,Married,Diploma,P4,9,Engineering,Hyderabad,Rotational,9,7,7,10,1,2,2829120,0.818,10.3,5.6,5,14,59,4,2,2,1,2.25,3,1,0,2,2,6,8,17,2,No,Rare,1,0,0.1595,0,No,1,0,18.2,0,2,0,0,1.89,2.4,0,0,0,0,0,0,0.9,0,1,0,1,2,0.1385,Low
ML10414,29,Male,Married,PhD,P1A,1,Operations,Mumbai,Day,3,1,0,9,5,0,342058,0.66,7.1,9.7,3,17,7,4,3,4,1,3.0,3,4,3,1,1,4,4,15,1,Yes,None,6,0,0.5498,1,Yes,1,1,34.0,10,0,0,0,5.0,2.9,0,0,0,0,0,0,0.33,1,0,0,1,3,0.5371,Critical
ML10415,26,Female,Married,Master,P1C,3,Finance,WFH,Day,14,5,5,4,2,0,824791,1.022,6.0,15.5,3,12,2,4,2,1,4,2.75,3,0,0,5,1,2,4,20,3,No,None,6,5,0.0502,0,No,0,0,-2.2,4,3,0,0,1.43,3.15,0,0,20,0,0,1,3.5,1,0,1,1,0,0.0699,Low
ML10416,26,Female,Married,Bachelor,P1B,2,Engineering,Hyderabad,Day,1,1,0,5,2,0,689869,0.869,13.2,6.5,1,11,25,4,4,2,3,3.25,3,1,0,5,0,3,7,16,2,Yes,None,7,3,0.5498,1,Yes,1,0,13.1,4,2,0,0,16.0,3.4,0,0,12,0,1,0,0.2,1,0,0,1,2,0.3602,High
ML10417,42,Female,Married,Bachelor,P3B,8,QA,Bengaluru,Rotational,3,1,1,22,6,0,2781710,1.097,6.5,8.5,3,22,9,2,3,3,3,2.75,3,0,3,1,0,5,5,10,2,Yes,None,5,0,0.186,0,No,0,0,-9.7,12,3,0,0,3.33,2.65,0,1,0,0,0,0,0.14,1,1,0,1,3,0.2153,Medium
ML10418,32,Male,Married,Other,P1C,3,Engineering,Bengaluru,Day,3,1,1,12,4,0,757469,0.692,14.4,16.0,2,18,52,4,3,2,2,2.75,3,0,1,2,1,2,7,10,3,No,Rare,2,2,0.5498,1,Yes,1,1,30.8,8,3,0,0,3.33,2.9,0,0,8,0,0,0,0.25,0,0,0,1,2,0.2899,Medium
ML10419,39,Female,Married,Bachelor,P5,10,Sales,Pune,Day,11,5,1,19,1,2,4365177,1.152,6.8,3.1,3,15,21,4,4,1,2,2.75,3,1,1,5,0,2,5,15,2,No,Rare,7,1,0.0502,0,No,0,0,-15.2,0,2,0,0,1.36,2.95,0,0,4,0,0,1,0.58,1,0,0,1,0,0.0235,Low
ML10420,40,Female,Single,Bachelor,P3A,7,Sales,Bengaluru,Rotational,15,4,0,18,6,0,1613997,0.869,12.0,17.6,5,19,13,3,4,3,1,2.75,3,0,1,4,1,3,6,7,1,Yes,Rare,2,1,0.5498,0,No,1,0,13.1,12,3,0,0,0.47,2.6,0,0,3,0,0,1,0.83,0,1,0,0,4,0.3701,High
ML10421,36,Male,Married,Master,P1A,1,Finance,Bengaluru,Day,1,1,0,16,5,0,482955,0.761,10.0,13.1,4,9,10,4,4,4,4,4.0,4,1,3,2,0,4,7,11,3,No,Rare,6,1,0.2245,0,No,1,1,23.9,10,3,0,0,11.0,4.0,0,0,4,0,1,0,0.06,1,0,0,1,2,0.1438,Low
ML10422,40,Female,Married,Diploma,P1A,1,Legal,Mumbai,Night,10,7,5,18,3,1,442195,0.685,11.2,6.5,3,16,5,1,3,2,4,2.5,3,1,0,2,1,2,4,15,6,No,None,4,0,0.3339,0,No,1,1,31.5,3,2,0,0,1.5,2.45,0,0,0,0,0,1,0.56,1,1,0,1,2,0.2443,Medium
ML10423,34,Male,Married,Bachelor,P1A,1,Engineering,Bengaluru,Day,15,8,4,13,4,0,400210,0.594,10.2,8.3,3,21,25,2,3,4,2,2.75,2,0,1,0,3,3,4,15,2,No,None,4,0,0.5498,0,No,1,1,40.6,8,2,1,0,1.0,2.5,0,0,0,0,0,1,1.15,1,0,0,1,3,0.5478,Critical
ML10424,44,Female,Single,Master,P3A,7,QA,Pune,Night,5,4,2,23,3,1,1670112,0.891,11.9,18.5,3,4,10,4,4,3,3,3.5,3,1,0,5,2,2,5,22,3,No,Rare,4,0,0.0502,0,No,1,0,10.9,3,2,0,0,4.4,3.55,0,0,0,0,0,0,0.22,1,1,0,0,2,0.1617,Low
ML10425,40,Female,Single,Bachelor,P4,9,Marketing,Hyderabad,Day,1,0,0,18,3,1,3030111,1.091,14.8,7.5,5,9,19,4,2,4,1,2.75,3,1,1,0,2,4,8,11,1,No,Frequent,4,1,0.0822,0,No,0,0,-9.1,3,2,0,0,11.0,2.7,0,0,4,19,1,0,0.06,1,0,0,0,0,0.1176,Low
ML10426,41,Female,Married,Master,P1C,3,QA,Bengaluru,Flexible,12,5,3,21,4,0,601805,0.639,5.5,13.6,5,20,30,2,3,3,2,2.5,3,0,3,4,0,3,5,14,2,No,None,6,0,0.3227,0,No,1,1,36.1,8,3,0,0,1.17,2.35,0,0,0,0,0,1,0.57,1,0,0,1,2,0.2494,Medium
ML10427,26,Female,Married,Bachelor,P4,9,Product,Chennai,Rotational,2,1,0,6,1,2,2602296,0.851,15.0,20.2,3,22,55,4,4,3,4,3.75,1,0,1,2,0,6,12,15,2,Yes,None,4,1,0.1154,0,No,1,0,14.9,0,1,0,0,7.5,3.85,0,0,4,0,0,0,0.33,1,1,0,1,3,0.0936,Low
ML10428,36,Female,Single,Diploma,P1A,1,QA,Mumbai,Day,1,0,0,15,4,0,606597,1.003,7.8,9.8,4,11,17,1,4,2,3,2.5,1,3,1,3,1,2,6,13,3,No,Rare,4,0,0.4009,1,Yes,0,0,-0.3,8,0,0,0,13.0,2.35,0,0,0,0,1,0,0.07,1,0,0,0,1,0.323,High
ML10429,22,Male,Single,Master,P4,9,Marketing,Pune,Rotational,2,2,1,2,0,1,2839615,1.022,1.8,10.0,2,17,54,3,3,3,2,2.75,3,1,0,2,0,5,7,13,2,No,None,7,0,0.3175,1,Yes,0,0,-2.2,0,2,0,0,6.5,2.7,0,0,0,0,0,0,1.0,1,1,0,0,1,0.2067,Medium
ML10430,45,Male,Married,Diploma,P5,10,Sales,Bengaluru,Rotational,3,2,1,25,0,1,4282543,1.032,11.7,21.1,4,17,42,2,4,4,3,3.25,3,0,1,6,0,2,9,13,1,No,None,3,0,0.0502,0,No,0,0,-3.2,0,3,0,0,4.33,3.0,0,0,0,0,0,0,0.12,0,1,0,1,1,0.067,Low
ML10431,29,Female,Single,Master,P3B,8,Finance,Pune,Rotational,0,0,0,9,0,2,2196094,0.866,12.3,4.6,3,5,27,4,2,3,4,3.25,3,1,1,4,0,1,5,12,3,Yes,Rare,5,1,0.2434,0,No,1,0,13.4,0,2,0,0,12.0,3.45,0,0,4,0,1,0,0.0,1,1,0,0,3,0.2723,Medium
ML10432,30,Female,Single,Diploma,P3B,8,Operations,Mumbai,Flexible,3,1,1,8,0,1,2370401,1.045,11.0,9.9,1,10,22,4,4,3,3,3.5,2,2,1,3,2,2,6,17,1,No,Rare,1,2,0.0502,0,No,0,0,-4.5,0,0,0,0,5.67,3.55,0,0,8,0,0,0,0.38,0,0,0,0,0,0.0704,Low
